"code","iso","country","HAD.raw.1990","HAD.raw.1991","HAD.raw.1992","HAD.raw.1993","HAD.raw.1994","HAD.raw.1995","HAD.raw.1996","HAD.raw.1997","HAD.raw.1998","HAD.raw.1999","HAD.raw.2000","HAD.raw.2001","HAD.raw.2002","HAD.raw.2003","HAD.raw.2004","HAD.raw.2005","HAD.raw.2006","HAD.raw.2007","HAD.raw.2008","HAD.raw.2009","HAD.raw.2010","HAD.raw.2011","HAD.raw.2012","HAD.raw.2013","HAD.raw.2014","HAD.raw.2015","HAD.raw.2016","HAD.raw.2017","HAD.raw.2018","HAD.raw.2019"
76,"BRA","Brazil",2002.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,855.6285,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.5558,NA,NA,NA,NA,267.6484,NA,NA,NA,196.0167
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",315.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1352,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7441,NA,NA,NA,NA,11.9035,NA,NA,NA,8.31
100,"BGR","Bulgaria",943.4239,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.0507,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.0559,NA,NA,NA,NA,328.2007,NA,NA,NA,288.6097
854,"BFA","Burkina Faso",9197.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,7918.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6378.093,NA,NA,NA,NA,6219.208,NA,NA,NA,5922.691
108,"BDI","Burundi",9884.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,8457.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,6500.165,NA,NA,NA,NA,5702.981,NA,NA,NA,5250.459
132,"CPV","Cabo Verde",3428.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,2479.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186.261,NA,NA,NA,NA,769.4644,NA,NA,NA,604.628
116,"KHM","Cambodia",10933.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,8593.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,5124.403,NA,NA,NA,NA,4241.873,NA,NA,NA,3662.583
120,"CMR","Cameroon",5337.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,5076.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,4156.019,NA,NA,NA,NA,3264.014,NA,NA,NA,2652.205
124,"CAN","Canada",6.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,0.406,NA,NA,NA,0.349
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",11376.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,10696.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,9661.68,NA,NA,NA,NA,8866.588,NA,NA,NA,8114.929
148,"TCD","Chad",9749.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,9491.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,8098.191,NA,NA,NA,NA,7064.006,NA,NA,NA,6438.62
152,"CHL","Chile",531.3924,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.9406,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5943,NA,NA,NA,NA,50.508,NA,NA,NA,38.6568
156,"CHN","China",4891.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,2664.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.905,NA,NA,NA,NA,678.3169,NA,NA,NA,471.1282
170,"COL","Colombia",1300.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.5908,NA,NA,NA,NA,197.7141,NA,NA,NA,137.7483
174,"COM","Comoros",8435.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,6684.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,4633.771,NA,NA,NA,NA,4222.651,NA,NA,NA,3567.983
184,"COK","Cook Islands",629.0309,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.7368,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.8154,NA,NA,NA,NA,118.5745,NA,NA,NA,95.7066
188,"CRI","Costa Rica",703.7309,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.0992,NA,NA,NA,NA,79.8432,NA,NA,NA,64.6163
384,"CIV","Cote d'Ivoire",7684.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,7011.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,5704.216,NA,NA,NA,NA,4771.865,NA,NA,NA,3880.818
191,"HRV","Croatia",359.7959,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.4954,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6192,NA,NA,NA,NA,56.079,NA,NA,NA,43.0113
192,"CUB","Cuba",193.8182,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.9541,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0446,NA,NA,NA,NA,38.2572,NA,NA,NA,27.4195
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",29.1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,1.33,NA,NA,NA,1.05
203,"CZE","Czech Republic",78.6823,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6944,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3986,NA,NA,NA,NA,11.4104,NA,NA,NA,9.35
180,"COD","Dem. Rep. Congo",7991.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,7373.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,6238.29,NA,NA,NA,NA,4953.451,NA,NA,NA,4213.769
208,"DNK","Denmark",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759,NA,NA,NA,NA,0.544,NA,NA,NA,0.437
262,"DJI","Djibouti",4821.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,3386.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613.341,NA,NA,NA,NA,1289.602,NA,NA,NA,1004.623
212,"DMA","Dominica",1246.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.8485,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.453,NA,NA,NA,NA,164.5826,NA,NA,NA,142.0069
214,"DOM","Dominican Republic",2052.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.9017,NA,NA,NA,NA,433.2006,NA,NA,NA,298.911
218,"ECU","Ecuador",991.7032,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.8321,NA,NA,NA,NA,129.2496,NA,NA,NA,94.7618
818,"EGY","Egypt",903.1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4199,NA,NA,NA,NA,7.07,NA,NA,NA,3.46
222,"SLV","El Salvador",2471.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,745.3177,NA,NA,NA,NA,466.5451,NA,NA,NA,276.7732
226,"GNQ","Equatorial Guinea",10033.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,5193.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585.52,NA,NA,NA,NA,778.213,NA,NA,NA,479.6691
232,"ERI","Eritrea",9411.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,6542.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,5442.644,NA,NA,NA,NA,4708.716,NA,NA,NA,4002.625
233,"EST","Estonia",538.1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.0166,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.0335,NA,NA,NA,NA,45.6122,NA,NA,NA,36.1303
748,"SWZ","Eswatini",5626.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,4879.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,4135.353,NA,NA,NA,NA,3018.907,NA,NA,NA,2441.544
231,"ETH","Ethiopia",12431.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,9373.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,5762.351,NA,NA,NA,NA,4580.939,NA,NA,NA,3923.681
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",3955.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,3009.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,2089.364,NA,NA,NA,NA,1625.065,NA,NA,NA,1256.641
246,"FIN","Finland",8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,0.617,NA,NA,NA,0.529
250,"FRA","France",5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,NA,NA,0.837,NA,NA,NA,0.664
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",4085.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.0869,NA,NA,NA,NA,347.8539,NA,NA,NA,196.6721
270,"GMB","Gambia",7073.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,5681.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,4793.38,NA,NA,NA,NA,4107.432,NA,NA,NA,3930.662
268,"GEO","Georgia",2293.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,2103.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258.745,NA,NA,NA,NA,783.9914,NA,NA,NA,667.2284
276,"DEU","Germany",2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.581,NA,NA,NA,NA,0.485,NA,NA,NA,0.403
288,"GHA","Ghana",5432.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,4303.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,3395.267,NA,NA,NA,NA,2546.094,NA,NA,NA,1977.943
300,"GRC","Greece",46.5697,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8875,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,4.57,NA,NA,NA,3.83
304,"GRL","Greenland",198.7702,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2306,NA,NA,NA,NA,19.5776,NA,NA,NA,15.7778
308,"GRD","Grenada",1654.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.9057,NA,NA,NA,NA,85.1275,NA,NA,NA,63.3481
320,"GTM","Guatemala",5490.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,3821.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237.628,NA,NA,NA,NA,1680.024,NA,NA,NA,1369.544
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",11209.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,9025.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,7288.728,NA,NA,NA,NA,6798.618,NA,NA,NA,5933.023
624,"GNB","Guinea-Bissau",11032.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9087.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,7644.844,NA,NA,NA,NA,6579.16,NA,NA,NA,5785.997
328,"GUY","Guyana",1968.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.9912,NA,NA,NA,NA,382.4389,NA,NA,NA,264.3607
332,"HTI","Haiti",9645.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,7007.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,6042.541,NA,NA,NA,NA,5617.874,NA,NA,NA,5075.058
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",3231.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,2589.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,2084.284,NA,NA,NA,NA,1945.591,NA,NA,NA,1693.041
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",864.0571,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.2533,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.7106,NA,NA,NA,NA,218.5848,NA,NA,NA,171.8882
352,"ISL","Iceland",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734,NA,NA,NA,NA,0.494,NA,NA,NA,0.401
356,"IND","India",7043.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,5349.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,3402.365,NA,NA,NA,NA,2401.856,NA,NA,NA,1837.972
360,"IDN","Indonesia",4284.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,2692.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023.045,NA,NA,NA,NA,1586.497,NA,NA,NA,1169.114
364,"IRN","Iran",591.0222,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9432,NA,NA,NA,NA,8.42,NA,NA,NA,4.27
368,"IRQ","Iraq",1489.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.5496,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3435,NA,NA,NA,NA,18.8649,NA,NA,NA,8.32
372,"IRL","Ireland",13.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,0.893,NA,NA,NA,0.67
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,NA,NA,0.953,NA,NA,NA,0.797
380,"ITA","Italy",23.2791,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,2.6,NA,NA,NA,2.08
388,"JAM","Jamaica",1475.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.8558,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.3357,NA,NA,NA,NA,251.193,NA,NA,NA,188.0204
392,"JPN","Japan",8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,0.809,NA,NA,NA,0.659
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",86.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08,NA,NA,NA,NA,1.05,NA,NA,NA,0.755
398,"KAZ","Kazakhstan",1653.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,532.8089,NA,NA,NA,NA,317.2443,NA,NA,NA,228.0265
404,"KEN","Kenya",5213.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,3845.124,NA,NA,NA,NA,3201.348,NA,NA,NA,2860.309
296,"KIR","Kiribati",9607.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,8633.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,7286.822,NA,NA,NA,NA,6506.781,NA,NA,NA,5729.817
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",43.3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,NA,NA,NA,NA,1.37,NA,NA,NA,0.956
417,"KGZ","Kyrgyzstan",3579.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,2878.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,1744.971,NA,NA,NA,NA,1156.184,NA,NA,NA,845.0349
418,"LAO","Laos",12785.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,9837.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,6351.131,NA,NA,NA,NA,5077.914,NA,NA,NA,4378.342
428,"LVA","Latvia",365.2832,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.6952,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.6878,NA,NA,NA,NA,72.7583,NA,NA,NA,57.6725
422,"LBN","Lebanon",515.0776,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.7413,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7085,NA,NA,NA,NA,9.13,NA,NA,NA,5.41
426,"LSO","Lesotho",5888.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,5383.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,5563.855,NA,NA,NA,NA,4926.731,NA,NA,NA,4105.321
430,"LBR","Liberia",10084.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,6928.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,4793.568,NA,NA,NA,NA,4059.107,NA,NA,NA,3597.305
434,"LBY","Libya",864.9249,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.5021,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1376,NA,NA,NA,NA,8.05,NA,NA,NA,5.32
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",250.0906,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.7884,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9253,NA,NA,NA,NA,34.3212,NA,NA,NA,23.6334
442,"LUX","Luxembourg",5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,0.724,NA,NA,NA,0.581
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",9000.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,6598.928,NA,NA,NA,NA,5780.084,NA,NA,NA,5243.179
454,"MWI","Malawi",8701.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,8077.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,5747.213,NA,NA,NA,NA,4880.211,NA,NA,NA,4385.699
458,"MYS","Malaysia",257.9097,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0981,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4515,NA,NA,NA,NA,18.8954,NA,NA,NA,13.4393
462,"MDV","Maldives",4465.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,2052.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.0457,NA,NA,NA,NA,315.4177,NA,NA,NA,229.3626
