"code","iso","country","VOA.raw.1996","VOA.raw.1998","VOA.raw.2000","VOA.raw.2002","VOA.raw.2003","VOA.raw.2004","VOA.raw.2005","VOA.raw.2006","VOA.raw.2007","VOA.raw.2008","VOA.raw.2009","VOA.raw.2010","VOA.raw.2011","VOA.raw.2012","VOA.raw.2013","VOA.raw.2014","VOA.raw.2015","VOA.raw.2016","VOA.raw.2017","VOA.raw.2018"
68,"BOL","Bolivia",0.1555186,0.3537701,0.1899729,0.1403699,-0.0564173,-0.1704503,-0.1567104,0.0764636,0.042224,0.0029617,0.0069464,-0.0392689,-0.0682378,-0.0815853,-0.068993,-0.0263198,-0.0046696,-0.0369255,-0.0256513,-0.0425873
70,"BIH","Bosnia and Herzegovina",-0.1038256,-0.0082106,-0.1083434,-0.0870445,0.2096106,0.1688246,0.2135848,0.1872602,0.1310104,0.015152,0.0031428,-0.0824645,-0.159755,-0.1003254,-0.1164629,-0.0709753,-0.0981009,-0.132196,-0.2071479,-0.2435907
72,"BWA","Botswana",0.862501,0.7493415,0.674277,0.6668932,0.706077,0.7358699,0.5946077,0.5131001,0.5079036,0.5135046,0.4370995,0.4555333,0.4259841,0.5329697,0.4893672,0.4354172,0.4403414,0.3943017,0.3875788,0.4747402
76,"BRA","Brazil",0.242077,0.3328526,0.3015936,0.472238,0.4428289,0.3886095,0.4576795,0.5000757,0.537074,0.5689857,0.5220069,0.5713488,0.5136762,0.4779062,0.4174263,0.4719279,0.4588516,0.4505662,0.4526689,0.3885686
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",-0.6499723,-0.7231966,-0.712919,-0.8335854,-0.7765917,-0.7978363,-0.7766633,-1.098655,-1.061537,-1.018134,-0.7307153,-0.6505712,-0.6103393,-0.5063741,-0.5050725,-0.6250251,-0.7541476,-0.9010608,-0.9485117,-0.8432592
100,"BGR","Bulgaria",0.4289864,0.4370174,0.4604987,0.5285313,0.545892,0.5696902,0.5948927,0.5771172,0.6909354,0.5779763,0.5604841,0.5314857,0.4500802,0.4009156,0.3372708,0.366463,0.4325731,0.4011085,0.3787741,0.3233821
854,"BFA","Burkina Faso",-0.5334398,-0.3961953,-0.2301548,-0.3878166,-0.3097244,-0.4337088,-0.4465201,-0.3418339,-0.3070092,-0.2834808,-0.2897423,-0.2529503,-0.2801855,-0.3049708,-0.255426,-0.3518519,-0.1143442,0.0133565,0.064641,-0.0432251
108,"BDI","Burundi",-1.549572,-1.442878,-1.489836,-1.164891,-1.177996,-1.281001,-0.6342345,-0.7231436,-0.7140452,-0.6852906,-0.6894393,-0.9426936,-0.9276319,-0.8945184,-0.9530513,-1.041284,-1.272207,-1.549649,-1.568257,-1.651565
132,"CPV","Cabo Verde",0.9375762,0.934504,0.8039816,0.6914414,0.5948473,0.6494132,0.4415974,0.7828959,0.8633298,0.937763,0.8910812,0.8946776,0.9700963,0.9387196,0.9160244,0.9569727,0.9438726,0.9755524,0.9675867,0.9977438
116,"KHM","Cambodia",-0.7494724,-0.815466,-0.7807828,-0.7402998,-0.8999627,-0.8708252,-1.017338,-0.931646,-0.9279869,-0.9711391,-0.9134476,-0.9272553,-0.9141283,-0.9614798,-0.9809273,-1.107751,-1.122615,-1.106937,-1.155918,-1.221331
120,"CMR","Cameroon",-0.9386249,-1.063615,-1.060407,-1.097049,-1.060006,-0.9741912,-1.034067,-1.023898,-1.049566,-1.067796,-1.040357,-1.058277,-1.033121,-1.021581,-1.036896,-0.9443417,-0.9540802,-1.03297,-1.052105,-1.104003
124,"CAN","Canada",1.566336,1.551413,1.531965,1.499054,1.547557,1.668455,1.506879,1.415595,1.384672,1.407529,1.401846,1.352596,1.380145,1.437505,1.453487,1.41236,1.467126,1.447941,1.480335,1.520857
136,"CYM","Cayman Islands",1.620618,1.600652,1.591204,1.573319,0.9632976,0.8777975,0.9037812,0.7828683,0.744717,0.7461754,0.5589764,0.5776708,0.57987,0.574215,0.5489348,0.4731347,0.4691605,0.4748803,0.4847641,0.4919728
140,"CAF","Central African Republic",-0.8275407,-0.6817774,-0.6706087,-1.003466,-1.248255,-1.309359,-0.9943755,-1.014794,-1.083287,-0.9880777,-1.003473,-1.104218,-1.087498,-1.241135,-1.474687,-1.391623,-1.225526,-1.086545,-1.107512,-1.188597
148,"TCD","Chad",-0.9936299,-0.9720221,-0.9780575,-0.9405125,-1.103416,-1.230529,-1.307716,-1.418421,-1.451322,-1.445907,-1.398563,-1.360329,-1.350032,-1.342748,-1.374709,-1.331053,-1.335183,-1.35586,-1.372231,-1.45447
152,"CHL","Chile",0.7227606,0.6190437,0.888869,1.087187,1.05612,1.225285,1.292521,1.082345,1.104882,1.013508,1.016847,1.095609,1.073909,1.076945,1.106285,1.055915,1.004488,0.9951399,0.9987726,1.054925
156,"CHN","China",-1.361545,-1.437438,-1.384081,-1.594193,-1.512429,-1.462464,-1.500785,-1.74897,-1.72125,-1.699497,-1.701171,-1.680548,-1.637609,-1.637941,-1.631409,-1.616668,-1.660777,-1.561287,-1.504779,-1.449377
170,"COL","Colombia",-0.5109423,-0.3441894,-0.438141,-0.4163575,-0.4292425,-0.3187851,-0.3225214,-0.1727367,-0.1653216,-0.1659226,-0.1496109,-0.1323792,-0.0597142,-0.0639913,-0.0812788,-0.0433162,0.0039272,0.1207723,0.1109427,0.1913842
174,"COM","Comoros",-0.4239966,-0.3751567,-1.032639,-0.3447775,-0.5741069,-0.5185916,-0.630451,-0.2216852,-0.388407,-0.2873705,-0.3419944,-0.4222873,-0.373952,-0.4661489,-0.460561,-0.2917461,-0.2911712,-0.2519301,-0.2953874,-0.4373426
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3860815,-0.3573337,-0.4071989,-0.4767389,-0.4640228,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",1.077364,1.142669,1.094699,1.110819,0.9642847,0.9712736,0.8169585,0.9157226,0.9353473,0.9667597,1.005792,1.03989,1.053863,1.08822,1.078483,1.138346,1.151579,1.117528,1.120113,1.144658
384,"CIV","Cote d'Ivoire",-0.5832255,-0.6386772,-0.9324062,-1.067058,-1.154528,-1.219649,-1.294619,-1.278678,-1.20209,-1.16756,-1.06438,-1.048398,-1.081877,-0.77775,-0.7511911,-0.5076874,-0.4072846,-0.2977152,-0.2701313,-0.2161922
191,"HRV","Croatia",-0.1614263,-0.2924617,0.5106539,0.556711,0.6236841,0.6583207,0.4526123,0.4814937,0.517976,0.4678069,0.4862779,0.4764283,0.5210824,0.5408306,0.5137413,0.5149403,0.5555071,0.5245169,0.5114164,0.5019643
192,"CUB","Cuba",-1.42548,-1.584773,-1.635162,-1.64863,-1.78976,-1.785588,-1.805158,-1.88721,-1.853983,-1.800639,-1.703885,-1.616888,-1.610357,-1.514607,-1.478674,-1.544798,-1.558119,-1.560196,-1.551914,-1.444819
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",1.035754,0.9830766,1.057137,1.117119,0.994463,0.9500313,0.9558727,1.052067,1.066656,1.084034,1.068028,1.023391,1.053583,1.022024,0.9808227,1.01997,1.031584,1.046577,1.055163,1.038081
203,"CZE","Czech Republic",1.034856,0.9679623,0.7627751,1.016404,1.014175,0.9544613,0.9056726,0.9622927,0.9952838,1.032759,1.033045,1.014818,1.022664,0.9703797,0.9845335,1.026667,1.042761,1.024769,0.9715869,0.930312
180,"COD","Dem. Rep. Congo",-1.600949,-1.728647,-1.733551,-1.609575,-1.555048,-1.697053,-1.521638,-1.230791,-1.211481,-1.387891,-1.409388,-1.409103,-1.485156,-1.481082,-1.458554,-1.286678,-1.303908,-1.390514,-1.443118,-1.512408
208,"DNK","Denmark",1.538972,1.467341,1.535965,1.532868,1.601452,1.800992,1.739609,1.571636,1.477704,1.538306,1.538261,1.541957,1.551707,1.674114,1.666271,1.524577,1.552826,1.541357,1.515539,1.611797
262,"DJI","Djibouti",-0.8827112,-0.9940081,-0.8777418,-0.8308864,-0.6663972,-0.7843679,-1.109946,-1.120306,-1.196666,-1.196742,-1.209396,-1.265671,-1.411138,-1.434044,-1.471035,-1.43081,-1.412145,-1.372533,-1.405939,-1.352054
212,"DMA","Dominica",1.04229,1.094592,1.093752,1.109614,1.053588,0.9856119,0.9323842,1.005351,0.9974716,1.034413,1.012254,0.9825406,0.9879898,0.94659,0.9667065,1.067056,0.8788872,0.8993958,0.8838625,0.8105155
214,"DOM","Dominican Republic",0.056515,0.0930833,0.22575,0.2372513,0.0232535,0.0470071,-0.0705539,0.2056577,0.1970037,0.1647324,0.0897983,0.0738616,0.0904333,0.1245922,0.1153695,0.1889606,0.1542685,0.1806174,0.1574749,0.1374327
218,"ECU","Ecuador",0.0132843,0.1146516,-0.2472181,-0.0449888,-0.1215411,-0.2446357,-0.3637435,-0.2538627,-0.1611159,-0.2223047,-0.2503612,-0.2310853,-0.2933648,-0.2961141,-0.2527218,-0.2024652,-0.2117547,-0.2484729,-0.1736493,0.0264112
818,"EGY","Egypt",-0.8441842,-0.9117861,-0.8945062,-1.10229,-1.083185,-0.9475579,-0.9647809,-1.199265,-1.167745,-1.212239,-1.157501,-1.188054,-1.139983,-0.7650635,-1.051559,-1.1806,-1.19042,-1.207264,-1.252706,-1.284183
222,"SLV","El Salvador",-0.1027049,0.0431398,-0.043114,0.1221307,0.1074823,0.0246405,-0.0750128,0.0966299,0.0945089,0.1120839,0.0576465,0.0715443,0.0439498,-0.0401937,-0.0130921,0.1526031,0.1523898,0.1880289,0.152976,0.0418064
226,"GNQ","Equatorial Guinea",-1.5247,-1.56103,-1.599229,-1.623729,-1.66345,-1.63894,-1.6835,-1.826265,-1.88798,-1.894067,-1.80687,-1.860195,-1.899614,-1.905041,-1.969891,-1.976544,-2.000251,-1.952545,-1.974467,-1.864524
232,"ERI","Eritrea",-1.363928,-1.231638,-1.470739,-1.824391,-1.932922,-1.907014,-2.184899,-2.084117,-2.115926,-2.159969,-2.20278,-2.198293,-2.226054,-2.208767,-2.196417,-2.113503,-2.106812,-2.172704,-2.165428,-2.176343
233,"EST","Estonia",0.9261671,1.03417,0.9880024,1.072951,1.070579,1.093419,0.9921685,1.068222,1.073011,1.091653,1.085522,1.105652,1.133726,1.111925,1.116849,1.17031,1.186864,1.207984,1.213267,1.21297
748,"SWZ","Eswatini",-1.326707,-1.236202,-1.462376,-1.402146,-1.53023,-1.464969,-1.494866,-1.251292,-1.351683,-1.319657,-1.271793,-1.325328,-1.315425,-1.281684,-1.261993,-1.333801,-1.391946,-1.416254,-1.430191,-1.33905
231,"ETH","Ethiopia",-1.08355,-0.9892509,-1.031739,-1.226132,-1.114733,-1.180991,-1.238757,-1.193717,-1.203705,-1.307213,-1.298283,-1.344843,-1.362644,-1.308908,-1.313026,-1.284354,-1.298357,-1.403662,-1.442103,-1.15887
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",0.1525742,0.2260747,-0.3462142,0.0286506,0.0666418,-0.0370266,0.0493086,-0.3252008,-0.6502559,-0.7047014,-0.9106878,-1.106356,-1.093062,-0.978678,-0.9095932,-0.1766343,0.0277805,0.0269812,0.178833,0.2166662
246,"FIN","Finland",1.517698,1.467298,1.593033,1.552904,1.572457,1.783608,1.687097,1.494072,1.460227,1.463081,1.465268,1.486713,1.507551,1.600697,1.573706,1.541917,1.543586,1.531729,1.553089,1.612387
250,"FRA","France",1.311158,1.171782,1.182987,1.154342,1.122663,1.456458,1.476771,1.298723,1.259767,1.304794,1.244509,1.202857,1.170668,1.238106,1.219247,1.21816,1.206641,1.135574,1.148534,1.179415
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",-0.3211722,-0.3911275,-0.4706822,-0.5268875,-0.6628094,-0.7800807,-0.8270018,-0.9502133,-0.8664775,-0.8451806,-0.9712192,-0.8651459,-0.9051993,-0.8636067,-0.86337,-0.8657218,-0.8941539,-0.9695891,-1.059383,-0.9477494
270,"GMB","Gambia",-1.274817,-0.9158153,-1.064675,-0.6709772,-0.4896687,-0.6744346,-1.015846,-0.896951,-0.891591,-0.8655047,-1.012212,-1.075465,-1.215479,-1.287478,-1.257354,-1.267749,-1.46007,-1.261949,-0.6222717,-0.1971968
268,"GEO","Georgia",-0.3317508,-0.3850902,-0.283676,-0.5051154,-0.1778657,-0.0782669,-0.0903711,-0.09271,-0.2304102,-0.2568539,-0.1888308,-0.160891,-0.1726989,0.0215808,0.1388145,0.284666,0.274588,0.2937262,0.2627981,0.2466903
276,"DEU","Germany",1.328895,1.291888,1.314802,1.414031,1.413554,1.49604,1.485834,1.365231,1.336478,1.336778,1.334962,1.297783,1.349211,1.393738,1.406184,1.43633,1.421997,1.36378,1.389157,1.422362
288,"GHA","Ghana",-0.2072352,-0.1872003,0.0706235,0.0284165,0.2717645,0.1177054,0.1974853,0.4075934,0.4973204,0.4318844,0.4979627,0.51473,0.4846578,0.4313522,0.4388546,0.4632516,0.4899295,0.5836056,0.5970871,0.5787039
300,"GRC","Greece",1.003164,1.103217,1.013062,1.048019,1.156674,1.191415,1.097569,0.9654828,0.9838739,0.9282115,0.8914437,0.8977181,0.820455,0.7007905,0.6872375,0.6187572,0.6515437,0.6684951,0.7086233,0.8573366
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.245291,1.282472,1.276299,1.290536,1.278615,1.276822,1.273942,1.279304,1.294318,1.305925
308,"GRD","Grenada",0.6147106,0.7246851,0.7152279,0.7856801,0.7647942,0.5690669,0.525194,0.7209769,0.7947865,0.8204733,0.8230612,0.7911725,0.7851922,0.7475029,0.7702491,0.9061409,0.8060584,0.8170357,0.7434302,0.5344329
320,"GTM","Guatemala",-0.2352701,-0.1950959,-0.2859445,-0.3586158,-0.4836283,-0.3244043,-0.3593794,-0.1687896,-0.1712756,-0.2018256,-0.2500028,-0.3033077,-0.3119646,-0.3561386,-0.3665427,-0.3375991,-0.3464034,-0.2918889,-0.281272,-0.3424338
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",-1.229576,-1.11045,-1.101043,-1.263447,-1.195399,-1.270173,-1.172005,-1.227811,-1.368684,-1.426304,-1.302842,-0.9179657,-0.8877387,-1.013889,-1.022311,-0.8580707,-0.8574675,-0.761686,-0.7382228,-0.7536743
624,"GNB","Guinea-Bissau",-0.9729233,-0.9439274,-0.6383037,-0.6587384,-1.065574,-0.8426626,-0.4844251,-0.6288677,-0.7123835,-0.7153731,-0.7591977,-0.8229927,-0.8534395,-1.325706,-1.343437,-0.850448,-0.7496253,-0.7345629,-0.7970271,-0.6663399
328,"GUY","Guyana",0.2540097,0.3907717,0.4642206,0.5423524,0.4281988,0.0669329,-0.2288598,0.0918237,0.100956,0.112155,0.0926979,0.0661981,0.0294743,-0.0022882,0.0212311,0.1560297,0.184078,0.2535391,0.2772134,0.2575835
332,"HTI","Haiti",-0.6890299,-0.614243,-0.7338627,-1.180776,-1.200583,-1.335518,-1.231598,-0.7125545,-0.6129856,-0.5870128,-0.6571429,-0.7115129,-0.7490237,-0.7627437,-0.7494452,-0.7911079,-0.7986993,-0.7594473,-0.7369524,-0.7454833
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",-0.2227673,-0.0224338,-0.0986046,-0.1626548,-0.1778577,-0.3408182,-0.3458069,-0.1394328,-0.1927967,-0.2946571,-0.5329577,-0.503611,-0.4686563,-0.4697777,-0.4749359,-0.4091908,-0.4217525,-0.4396992,-0.4417417,-0.5083182
344,"HKG","Hong Kong",0.333626,-0.1062652,-0.0119737,0.1908886,0.44989,0.5621405,0.6203917,0.5081102,0.4763652,0.447788,0.4794998,0.5148422,0.574968,0.6397095,0.725163,0.5356985,0.5148095,0.3772092,0.4275814,0.468593
348,"HUN","Hungary",1.015237,1.070461,1.135267,1.156022,1.167382,1.149414,1.175189,1.015041,1.041056,0.9657084,0.909685,0.8942028,0.8369731,0.7493677,0.7371929,0.5532663,0.5599743,0.4012523,0.365919,0.3183424
352,"ISL","Iceland",1.462389,1.429103,1.492716,1.472992,1.555669,1.628328,1.568608,1.445337,1.431,1.42565,1.415215,1.445753,1.41073,1.44295,1.439569,1.357325,1.376502,1.356051,1.377903,1.412682
356,"IND","India",0.4765637,0.3912426,0.3520634,0.4262459,0.4545649,0.3999674,0.4136857,0.4371937,0.4539639,0.4621931,0.4606846,0.4432724,0.4358186,0.3994542,0.4327801,0.413294,0.4278702,0.4401874,0.3855384,0.3788327
360,"IDN","Indonesia",-0.9236898,-1.02447,-0.2701759,-0.2719033,-0.2993861,-0.2554474,-0.1219255,-0.0842525,-0.0198048,-0.0112615,-0.0010406,-0.0377742,-0.008531,0.0676126,0.0361213,0.1539049,0.184858,0.1666785,0.129882,0.1797367
364,"IRN","Iran",-0.9513361,-0.8575996,-0.9323903,-1.075241,-1.25318,-1.233033,-1.282151,-1.500559,-1.554468,-1.569739,-1.581752,-1.606163,-1.583116,-1.600213,-1.608372,-1.580744,-1.513593,-1.343075,-1.299486,-1.317932
368,"IRQ","Iraq",-1.95664,-1.942543,-2.012989,-2.050344,-1.50118,-1.643005,-1.300999,-1.282198,-1.126172,-1.104687,-1.023472,-0.9918546,-1.069502,-1.076181,-1.057192,-1.144258,-1.127941,-1.016786,-1.048274,-0.987156
372,"IRL","Ireland",1.382437,1.355705,1.408249,1.270815,1.276466,1.477552,1.623855,1.396541,1.397142,1.42259,1.353574,1.324432,1.305361,1.322521,1.311735,1.317501,1.334674,1.290975,1.293333,1.31875
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",0.7040718,0.6193128,0.6943455,0.5891345,0.6442926,0.6622503,0.6461244,0.7741564,0.7405438,0.7232652,0.5704734,0.5838454,0.6533095,0.6443449,0.6494062,0.727579,0.7449204,0.786603,0.696376,0.6511905
380,"ITA","Italy",1.129291,1.063974,1.040719,1.038653,0.985717,1.177168,1.057029,1.064524,1.111907,1.032024,1.03418,0.9627974,0.9118239,0.9168093,0.9542174,0.9992626,1.034772,1.033993,1.053589,1.045518
388,"JAM","Jamaica",0.5869839,0.727634,0.677776,0.5974275,0.5191863,0.3969042,0.4180529,0.6207255,0.6370159,0.5799751,0.577552,0.4628276,0.4791512,0.4860247,0.5434061,0.5625729,0.6087705,0.6812609,0.6903065,0.6169987
392,"JPN","Japan",1.07293,0.9467865,0.958088,1.014471,1.082604,1.043495,1.006277,0.9541233,0.9699463,0.9488592,1.021046,1.040693,1.071133,1.101295,1.109647,1.036089,0.9880549,0.9879047,1.007819,1.022638
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.276299,1.290536,1.278615,1.276822,1.273942,1.279304,1.294318,1.305925
400,"JOR","Jordan",-0.2383221,-0.4200197,-0.284869,-0.7965636,-0.6340421,-0.5498545,-0.5142884,-0.7170047,-0.6767808,-0.7373688,-0.7845951,-0.7993262,-0.7962052,-0.7344927,-0.8067545,-0.7536456,-0.7693849,-0.7130068,-0.7229797,-0.7017328
398,"KAZ","Kazakhstan",-0.964695,-0.7637554,-0.9656792,-1.072603,-1.091706,-1.128525,-1.031668,-1.189626,-1.163579,-1.09226,-1.075511,-1.132222,-1.121369,-1.176721,-1.242599,-1.183921,-1.163788,-1.207552,-1.227571,-1.171871
404,"KEN","Kenya",-0.6521509,-0.866834,-0.8106471,-0.6793998,-0.2571073,-0.211595,-0.244842,-0.1303465,-0.2490153,-0.2825438,-0.3319136,-0.2189553,-0.2695202,-0.2878036,-0.2122569,-0.1452322,-0.1460019,-0.1154431,-0.199418,-0.3606543
296,"KIR","Kiribati",1.150898,1.175147,1.142295,1.090094,0.9735317,0.4113089,0.0249492,0.701957,0.6420909,0.7480637,0.6348916,0.6353967,0.8370643,0.7746087,0.8057979,0.9397047,0.9789279,1.004846,1.046687,1.146016
689,"XKX","Kosovo",-1.699881,-1.268769,-0.7386692,-0.3901014,-0.3215919,-0.3613184,-0.3724463,-0.5051957,-0.3124728,-0.3137963,-0.1168404,-0.180991,-0.2360896,-0.2237748,-0.2504447,-0.2013129,-0.1508317,-0.1488206,-0.115842,-0.1200815
414,"KWT","Kuwait",-0.243808,-0.2990829,-0.2973249,-0.3618148,-0.3966581,-0.3030844,-0.4835252,-0.5817673,-0.5451928,-0.5433814,-0.4846455,-0.5244356,-0.5585736,-0.642978,-0.6576061,-0.6574598,-0.6636638,-0.6289634,-0.6070822,-0.5891867
417,"KGZ","Kyrgyzstan",-0.7870265,-0.8089664,-1.09426,-1.015423,-1.027842,-1.016143,-0.8875507,-0.7590821,-0.9627357,-1.091765,-1.019887,-0.9343349,-0.6829873,-0.6110972,-0.5382611,-0.4624974,-0.4041609,-0.4202992,-0.4384624,-0.3742365
