"code","iso","country","UWD.raw.1990","UWD.raw.1991","UWD.raw.1992","UWD.raw.1993","UWD.raw.1994","UWD.raw.1995","UWD.raw.1996","UWD.raw.1997","UWD.raw.1998","UWD.raw.1999","UWD.raw.2000","UWD.raw.2001","UWD.raw.2002","UWD.raw.2003","UWD.raw.2004","UWD.raw.2005","UWD.raw.2006","UWD.raw.2007","UWD.raw.2008","UWD.raw.2009","UWD.raw.2010","UWD.raw.2011","UWD.raw.2012","UWD.raw.2013","UWD.raw.2014","UWD.raw.2015","UWD.raw.2016","UWD.raw.2017","UWD.raw.2018","UWD.raw.2019"
4,"AFG","Afghanistan",1569.94037821977,NA,NA,NA,NA,NA,NA,NA,NA,NA,2286.60704446236,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154.48081566062,NA,NA,NA,NA,858.749687294318,NA,NA,NA,674.481232607599
8,"ALB","Albania",266.184020719185,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.509770081619,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.231862974906,NA,NA,NA,NA,123.307102988719,NA,NA,NA,116.095860273863
12,"DZA","Algeria",520.110401335126,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.950091251052,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.246467557082,NA,NA,NA,NA,135.524420643847,NA,NA,NA,127.632486713306
20,"AND","Andorra",3.19262286882187,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93983591447237,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75634107848982,NA,NA,NA,NA,1.7064970338109,NA,NA,NA,1.65559689644448
24,"AGO","Angola",14688.6069565826,NA,NA,NA,NA,NA,NA,NA,NA,NA,9897.39606754985,NA,NA,NA,NA,NA,NA,NA,NA,NA,4519.36411167981,NA,NA,NA,NA,3254.73399671752,NA,NA,NA,2329.17953201826
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",225.085427462986,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.707396742456,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.594348766577,NA,NA,NA,NA,172.693971942873,NA,NA,NA,174.021747067132
32,"ARG","Argentina",217.90164511854,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.018056064721,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3913153475934,NA,NA,NA,NA,60.0714852860427,NA,NA,NA,56.7573137143704
51,"ARM","Armenia",482.531061614651,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.150324913684,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9772216760423,NA,NA,NA,NA,51.3443240499272,NA,NA,NA,47.9146943744759
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
