"code","iso","country","RQU.raw.1996","RQU.raw.1998","RQU.raw.2000","RQU.raw.2002","RQU.raw.2003","RQU.raw.2004","RQU.raw.2005","RQU.raw.2006","RQU.raw.2007","RQU.raw.2008","RQU.raw.2009","RQU.raw.2010","RQU.raw.2011","RQU.raw.2012","RQU.raw.2013","RQU.raw.2014","RQU.raw.2015","RQU.raw.2016","RQU.raw.2017","RQU.raw.2018"
64,"BTN","Bhutan",-0.4119453,-0.3835604,-0.341934,-0.4179625,0.0334465,-0.819621,-0.2806116,-0.567003,-0.6922845,-0.7493685,-1.07056,-1.169393,-1.154382,-1.086905,-1.078863,-0.9980033,-0.7134356,-0.6651375,-0.3324665,-0.3346259
68,"BOL","Bolivia",0.0049688,0.1856382,0.035398,-0.0592883,-0.0844885,-0.2028167,-0.6925678,-0.8880664,-0.9819081,-0.8709679,-0.8793064,-0.802755,-0.7557204,-0.8235803,-0.7768504,-0.8702523,-0.8858231,-0.9240948,-0.8986728,-0.8945125
70,"BIH","Bosnia and Herzegovina",-0.9107713,-0.8743529,-0.4991479,-0.5564302,-0.4817312,-0.208252,-0.5762483,-0.4643262,-0.2771055,-0.1511758,-0.0913915,-0.0880334,-0.0335498,-0.0513644,-0.0659818,-0.0898658,-0.1956575,-0.1666478,-0.1498013,-0.2064383
72,"BWA","Botswana",0.6507294,0.6752,0.6290287,0.7811234,0.7945626,0.6598923,0.6679586,0.5266036,0.4639552,0.4948993,0.4851633,0.4557317,0.4938449,0.6109335,0.5811184,0.5850612,0.4388786,0.5284874,0.464532,0.454911
76,"BRA","Brazil",0.2969333,0.3646649,0.3616906,0.2966394,0.3096195,0.0334402,0.0392087,-0.0324615,-0.0254311,0.0539286,0.0994606,0.1524443,0.1653361,0.0939019,0.0734235,-0.0781973,-0.1926553,-0.2073155,-0.1144198,-0.3132748
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1.348304,0.9386868,0.9879685,1.093588,1.033847,1.205879,0.9124033,0.9364097,0.9862139,0.7837868,1.087068,1.110249,1.154296,1.151749,1.105576,0.9851288,0.852387,0.5933974,0.7154635,0.685179
100,"BGR","Bulgaria",-0.1844347,0.0412437,0.1969915,0.5617083,0.6483253,0.6629305,0.6437926,0.5968993,0.6287009,0.6973,0.6694661,0.6495608,0.5438341,0.5632586,0.5389014,0.568319,0.5637681,0.6585177,0.6258,0.5765803
854,"BFA","Burkina Faso",-0.2952701,-0.3656994,-0.1165311,-0.1145192,-0.3026677,-0.3306739,-0.4010216,-0.3436106,-0.2646435,-0.1939826,-0.1119205,-0.156401,-0.179535,-0.1188603,-0.1749993,-0.3089368,-0.3713624,-0.3973829,-0.4435385,-0.3863249
108,"BDI","Burundi",-1.641465,-1.544064,-1.172062,-1.263124,-1.172414,-1.196419,-1.364591,-1.202598,-1.244897,-1.243566,-1.155625,-1.115116,-1.012377,-0.9454027,-0.8779285,-0.7070148,-0.7104732,-0.8252589,-0.8360441,-0.982583
132,"CPV","Cabo Verde",-0.5322676,-0.1578125,0.0276704,-0.2386135,-0.1854206,-0.3214182,-0.3215024,-0.1844269,-0.1843312,-0.0399444,0.040309,-0.0326268,0.0736227,0.056366,-0.1007206,-0.1838116,-0.2646035,-0.2960399,-0.2044774,-0.2411533
116,"KHM","Cambodia",-0.2279684,-0.2412849,-0.1867374,-0.3118794,-0.4549186,-0.5114569,-0.5291467,-0.612581,-0.4819401,-0.4464538,-0.4859722,-0.4753461,-0.5836288,-0.3413971,-0.3383653,-0.4231628,-0.5250493,-0.4652204,-0.5029378,-0.5049168
120,"CMR","Cameroon",-1.122349,-0.6186677,-0.5900958,-0.8739079,-0.839056,-0.6915929,-0.9296345,-0.8483388,-0.8477936,-0.8271499,-0.7615821,-0.7441876,-0.8069494,-0.9286842,-0.9374695,-0.8845948,-0.9170986,-0.7898978,-0.8227918,-0.7993764
124,"CAN","Canada",1.488291,1.598478,1.523343,1.58165,1.557192,1.62667,1.566931,1.55885,1.605411,1.650838,1.699475,1.695867,1.691034,1.714616,1.739304,1.845022,1.717661,1.73882,1.886527,1.665293
136,"CYM","Cayman Islands",1.02667,1.058704,1.276005,1.468842,1.447286,1.472531,1.360657,1.350138,1.377706,1.146509,1.164975,1.15917,1.140772,1.108562,1.118897,0.8524853,0.8151542,0.7873485,0.7532902,0.9785166
140,"CAF","Central African Republic",-0.891484,-0.8366499,-0.8630769,-1.079601,-1.104644,-1.204948,-1.340983,-1.260503,-1.293416,-1.206067,-1.255856,-1.159351,-1.191609,-1.077462,-1.172318,-1.393427,-1.439941,-1.427307,-1.48077,-1.367495
148,"TCD","Chad",-1.228222,-0.8949356,-0.751563,-0.8945824,-0.9071748,-0.854122,-1.236425,-1.102796,-1.133406,-1.175087,-1.06258,-1.068313,-1.025349,-1.072346,-0.9917988,-1.158972,-1.210751,-1.180022,-1.210235,-1.112313
152,"CHL","Chile",1.54276,1.392356,1.410081,1.44762,1.459134,1.402693,1.357459,1.473752,1.505748,1.518668,1.462517,1.438484,1.459092,1.538509,1.491449,1.494421,1.345232,1.373064,1.335125,1.343512
156,"CHN","China",-0.2666527,-0.3013043,-0.3392896,-0.513172,-0.3333692,-0.3086975,-0.1500192,-0.2011652,-0.1715566,-0.1547905,-0.2238316,-0.234011,-0.2214281,-0.2408196,-0.2879804,-0.2829926,-0.2894387,-0.2644748,-0.1476175,-0.1350215
170,"COL","Colombia",-0.1054877,0.0022869,0.1026202,0.0282163,-0.0879301,-0.0465544,0.0079865,0.1017461,0.2413717,0.2619745,0.1482843,0.2534749,0.3592378,0.4006766,0.4028929,0.4962346,0.4654272,0.4020093,0.3409346,0.3277881
174,"COM","Comoros",-1.131253,-1.202752,-1.23706,-1.0955,-1.365606,-1.470375,-1.505809,-1.489534,-1.44984,-1.494797,-1.548741,-1.423614,-1.361312,-1.391064,-1.201662,-1.104208,-1.029055,-1.049556,-1.037488,-1.117265
184,"COK","Cook Islands",NA,NA,0.3882081,0.3826776,0.3189074,0.2594865,0.5601183,0.5904117,0.1443957,NA,-0.9418253,-1.236971,-1.169229,-1.139807,-1.159103,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0.5518193,0.7529925,0.5708783,0.3941818,0.6004493,0.5156232,0.5835223,0.381426,0.4184185,0.4572019,0.42198,0.4651055,0.4497046,0.5717511,0.5832982,0.5148572,0.5257646,0.4074337,0.4479403,0.479403
384,"CIV","Cote d'Ivoire",-0.398577,-0.2218269,-0.5123319,-0.4201515,-0.7841697,-0.9582267,-0.8962979,-0.9197752,-0.8458249,-0.9032416,-0.9707215,-0.9260469,-0.8695123,-0.764886,-0.7363843,-0.5945303,-0.504151,-0.3648906,-0.3618664,-0.1907277
191,"HRV","Croatia",-0.1714107,-0.0805468,-0.0296176,0.3204752,0.5090582,0.5356511,0.5099912,0.4197808,0.4911637,0.5098007,0.5598809,0.5743341,0.5373026,0.4582827,0.4630746,0.3950692,0.3640225,0.3562783,0.424106,0.4473468
192,"CUB","Cuba",-1.100114,-1.322111,-1.232174,-1.285342,-1.424122,-1.596839,-1.314237,-1.429788,-1.556243,-1.497101,-1.603957,-1.671379,-1.626527,-1.560556,-1.583988,-1.325052,-1.22355,-1.338703,-1.329062,-1.455965
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",1.261967,1.207978,1.137256,1.236986,1.214373,1.228797,1.221836,1.27707,1.331325,1.367876,1.362604,1.423306,1.236406,1.130751,0.9171373,1.098858,1.062325,1.052626,1.030003,1.017323
203,"CZE","Czech Republic",1.071839,0.9551734,0.7561927,1.200828,1.199913,1.069213,1.110906,1.108626,1.023206,1.15504,1.311661,1.299505,1.201138,1.05909,1.085486,1.005961,1.098858,0.986401,1.232614,1.261501
180,"COD","Dem. Rep. Congo",-1.756227,-2.297536,-2.027446,-1.468978,-1.475788,-1.607705,-1.683722,-1.314578,-1.254051,-1.296066,-1.529051,-1.586182,-1.521802,-1.489312,-1.233635,-1.362629,-1.34549,-1.323978,-1.465562,-1.474037
208,"DNK","Denmark",1.783265,1.777702,1.775641,1.761257,1.765266,1.759092,1.650685,1.803423,1.925144,1.873556,1.88179,1.876393,1.905198,1.806774,1.80997,1.687075,1.734574,1.575408,1.621354,1.67705
262,"DJI","Djibouti",-1.002804,-1.020682,-0.7061507,-0.5297803,-0.7159481,-0.6529379,-0.7841079,-0.7492219,-0.6964887,-0.6587294,-0.6138551,-0.6264775,-0.5363827,-0.4301984,-0.5223163,-0.5309218,-0.6991644,-0.7000202,-0.6411554,-0.7057354
212,"DMA","Dominica",1.02667,0.4705746,0.5098609,0.7411213,0.8561718,0.6312476,0.785306,0.8861196,0.7435877,0.597471,0.5851444,0.4842022,0.3006368,0.3269264,0.310987,0.2735937,0.2325697,0.1990751,0.1292983,0.0820731
214,"DOM","Dominican Republic",-0.2312835,-0.1634125,-0.1367687,-0.2109499,-0.3293813,-0.427951,-0.384817,-0.2364229,-0.2375534,-0.192823,-0.1925166,-0.1522817,-0.1954342,-0.1042744,-0.0710712,-0.0368152,-0.037778,-0.065245,-0.0788678,-0.0771244
218,"ECU","Ecuador",-0.3082701,-0.1559631,-0.5439914,-0.6697202,-0.662545,-0.7163673,-0.7875217,-1.111778,-1.141479,-1.138787,-1.296207,-1.17082,-1.031473,-1.017313,-0.9281889,-1.00722,-1.157369,-1.018454,-1.002314,-0.8901963
818,"EGY","Egypt",-0.04817,-0.3255371,-0.3394417,-0.4829958,-0.5981286,-0.5084369,-0.4241044,-0.4357026,-0.2887296,-0.1824392,-0.1971762,-0.1746296,-0.3439164,-0.4751413,-0.6400837,-0.7625603,-0.8355927,-0.9231897,-0.8620573,-0.8670051
222,"SLV","El Salvador",-0.1930082,0.2636074,0.142521,0.0165054,-0.1434313,0.0647052,-0.1772072,0.0363843,0.1926179,0.207267,0.3200334,0.3630272,0.47141,0.3254577,0.3131208,0.3188713,0.1963225,0.0939717,-0.1524985,-0.0387822
226,"GNQ","Equatorial Guinea",-1.43763,-1.600649,-1.676723,-1.462748,-1.361234,-1.453584,-1.425849,-1.390018,-1.31468,-1.318621,-1.278897,-1.38044,-1.333177,-1.44463,-1.426211,-1.361805,-1.347726,-1.380239,-1.395034,-1.557606
232,"ERI","Eritrea",-1.131253,-0.5653853,-0.9140913,-1.065616,-1.53494,-1.659135,-1.696157,-2.070662,-2.108099,-2.175177,-2.24367,-2.243315,-2.209826,-2.239072,-2.226172,-2.128177,-2.108709,-2.186823,-2.195756,-2.231222
233,"EST","Estonia",1.24001,1.232288,1.291119,1.388436,1.301432,1.300697,1.294085,1.294109,1.359947,1.419457,1.395184,1.390466,1.390989,1.417086,1.447542,1.676558,1.669039,1.698142,1.642088,1.562708
748,"SWZ","Eswatini",-0.2702311,-0.4016446,-0.4184498,-0.1606069,-0.3678929,-0.6331735,-0.50683,-0.5091868,-0.6498483,-0.5682011,-0.5422304,-0.6018894,-0.6367049,-0.550817,-0.3526331,-0.4643536,-0.5110121,-0.5762869,-0.5612722,-0.6039193
231,"ETH","Ethiopia",-1.296775,-1.133257,-1.140291,-1.206067,-1.156922,-0.9780463,-1.133831,-1.008481,-0.9442089,-0.8601215,-0.9303918,-0.8702891,-0.9997987,-1.047956,-1.118452,-1.065146,-1.031196,-1.101313,-1.006072,-0.9736451
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",0.0303032,-0.1730905,-0.5156096,0.0758605,-0.2638021,-0.6317076,-0.3894851,-0.4221618,-0.4428151,-0.6782546,-0.9575822,-0.6676897,-0.4951043,-0.5786811,-0.5474498,-0.3826222,-0.3621247,-0.3770984,-0.2239846,-0.2195376
246,"FIN","Finland",1.548161,1.82857,1.849333,1.866809,1.858854,1.790919,1.662623,1.601978,1.548008,1.610824,1.812506,1.87564,1.819748,1.829249,1.851513,1.884035,1.836381,1.817408,1.819965,1.786545
250,"FRA","France",1.048776,0.8705307,0.9601255,1.016844,1.248102,1.22613,1.246632,1.240273,1.287171,1.284125,1.216958,1.312381,1.161314,1.130379,1.157089,1.078786,1.129694,1.070323,1.15695,1.173062
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",0.1356739,0.175352,-0.1137367,-0.1623803,-0.1147544,-0.4556572,-0.1478942,-0.4083073,-0.5163361,-0.6336604,-0.5822802,-0.5477092,-0.5439157,-0.5915115,-0.6402615,-0.7929766,-0.797162,-0.7979104,-0.7866808,-0.8840587
270,"GMB","Gambia",-0.8415683,-0.3732669,-0.2734065,-0.5196086,-0.4638152,-0.4423981,-0.5525596,-0.4042953,-0.3740375,-0.4031689,-0.342745,-0.3987791,-0.2845533,-0.2281193,-0.3614394,-0.456939,-0.5086934,-0.5093247,-0.4481761,-0.6317748
268,"GEO","Georgia",-1.014464,-0.4762576,-0.3892167,-0.7803031,-0.6249701,-0.4554018,-0.6019934,-0.1407454,0.2935729,0.4840172,0.5008053,0.5938427,0.6642455,0.6936821,0.7566072,0.9339862,0.9224599,1.008661,1.053121,1.122732
276,"DEU","Germany",1.481484,1.285795,1.514805,1.558397,1.534465,1.479608,1.516365,1.569094,1.615169,1.488769,1.519109,1.573053,1.554825,1.536132,1.553044,1.703043,1.723078,1.817016,1.783135,1.749248
288,"GHA","Ghana",-0.3438184,-0.2194145,-0.0673863,-0.4483666,-0.2621369,-0.3660312,-0.1254053,-0.0638116,-0.048031,-0.0368968,0.0803972,0.1159474,0.1248741,0.1281278,0.0846051,-0.0057965,-0.0312539,-0.2325097,-0.1376108,-0.0800039
300,"GRC","Greece",0.5371351,0.6164008,0.7773918,0.9866242,1.01993,0.8453354,0.9607569,0.8585035,0.8947076,0.880909,0.8366709,0.6446643,0.4964582,0.5269415,0.6334165,0.3293375,0.409623,0.1483869,0.2381997,0.2950006
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.350403,1.364372,1.330946,1.375133,1.397566,1.378306,1.353184,1.334686,1.321487,1.37654
308,"GRD","Grenada",0.5471318,0.4418888,0.4611357,0.436121,0.4459924,0.21149,0.3502735,0.5129459,0.4346262,0.2976362,0.3002185,0.3645605,0.2856542,0.2892919,0.2841353,0.191698,0.0900918,0.084025,-0.0538242,-0.2930871
320,"GTM","Guatemala",-0.3097729,0.0727589,-0.1335642,-0.157743,-0.346035,-0.2006779,-0.4467168,-0.2486923,-0.2287212,-0.1782018,-0.1505856,-0.152868,-0.1333846,-0.1723127,-0.2037375,-0.1920252,-0.2162642,-0.2024315,-0.255445,-0.1955709
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",-0.8403013,-0.5135979,-0.6041963,-0.981784,-0.9434079,-0.946652,-1.079883,-1.228478,-1.229044,-1.212222,-1.139881,-1.090813,-1.00923,-1.020365,-1.001378,-1.056362,-0.8706912,-0.8676737,-0.8378924,-0.7780002
624,"GNB","Guinea-Bissau",-0.8342023,-1.249058,-1.171995,-0.9710209,-0.8101195,-1.069146,-1.11762,-0.9375241,-1.090201,-1.198117,-1.183313,-1.138213,-1.123603,-1.226237,-1.261222,-1.19097,-1.203109,-1.235827,-1.181866,-1.198666
328,"GUY","Guyana",-0.1737298,0.0103226,-0.148654,-0.3693794,-0.3125851,-0.3731754,-0.4914171,-0.6092052,-0.6080967,-0.5650511,-0.6066553,-0.5781122,-0.6573113,-0.6195107,-0.6017043,-0.5261358,-0.5150861,-0.4165162,-0.393391,-0.5320596
332,"HTI","Haiti",-0.9129845,-0.8073139,-0.8997458,-1.02236,-1.029715,-1.353273,-1.210616,-0.85383,-0.8251184,-0.7642485,-0.9313185,-1.028822,-1.052692,-0.9403833,-0.9334102,-1.065349,-1.170394,-1.238312,-1.31641,-1.224258
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",-0.6920494,-0.1279094,-0.3238879,-0.4053921,-0.4888186,-0.3480996,-0.6264381,-0.4700296,-0.2864851,-0.3067068,-0.2998717,-0.2230574,-0.1339601,-0.192711,-0.186378,-0.398392,-0.3959342,-0.513028,-0.4362634,-0.4688137
344,"HKG","Hong Kong",1.677795,1.904534,1.82743,1.726787,1.927398,1.959316,1.789343,1.935577,1.983542,1.954163,1.819855,1.87657,1.78208,1.948253,1.929717,2.057507,2.189884,2.153887,2.163465,2.206004
348,"HUN","Hungary",0.8505728,1.025442,1.090353,1.313026,1.116598,1.16464,1.068541,1.21221,1.19106,1.195643,1.081764,1.016507,1.032593,0.9879707,0.9061847,0.7519903,0.7662329,0.6034219,0.6497676,0.6022686
352,"ISL","Iceland",1.253652,1.356542,1.613703,1.552962,1.662568,1.622952,1.603446,1.526913,1.509135,1.310709,1.01575,0.9226791,1.057036,1.119306,1.14007,1.217898,1.273735,1.276847,1.432059,1.417764
356,"IND","India",-0.55335,-0.4552507,-0.1560733,-0.3541076,-0.3484355,-0.4284641,-0.2887118,-0.2798955,-0.3048282,-0.389451,-0.3267712,-0.3786293,-0.3445381,-0.4727815,-0.4706369,-0.4477591,-0.3914646,-0.306505,-0.2540298,-0.1836544
360,"IDN","Indonesia",-0.0508105,-0.3399186,-0.206866,-0.6400325,-0.795902,-0.7015996,-0.6254227,-0.3844717,-0.3449852,-0.3482862,-0.3617966,-0.415857,-0.3519141,-0.2787625,-0.1954409,-0.1076597,-0.2175578,-0.1223439,-0.1063154,-0.0712725
364,"IRN","Iran",-1.42351,-1.635503,-1.654209,-1.292133,-1.177272,-1.255103,-1.202849,-1.463337,-1.616982,-1.63188,-1.72011,-1.70872,-1.5206,-1.425133,-1.493414,-1.457999,-1.311571,-1.229369,-1.198724,-1.296409
368,"IRQ","Iraq",-2.152285,-2.23275,-2.202034,-1.99022,-1.413458,-1.646048,-1.533039,-1.392466,-1.320034,-1.147853,-1.006559,-1.050617,-1.09234,-1.250252,-1.238699,-1.2541,-1.23746,-1.125068,-1.203296,-1.218958
372,"IRL","Ireland",1.51273,1.702234,1.848545,1.769485,1.617235,1.57729,1.489262,1.837013,1.849392,1.91417,1.698822,1.620827,1.600839,1.571007,1.582879,1.764863,1.818874,1.740965,1.585116,1.595356
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",1.082424,1.099374,1.129896,0.9596179,0.938236,0.826647,0.8639424,0.9978138,1.100534,1.171127,1.101107,1.216991,1.316737,1.177436,1.166611,1.216221,1.272598,1.31263,1.271691,1.247308
380,"ITA","Italy",0.8552957,0.7531931,0.8340189,0.9443859,1.077558,1.094056,0.998329,0.9774947,0.9405472,0.9747458,0.9684786,0.8963356,0.7177325,0.7499914,0.7847136,0.6418828,0.7288107,0.7105919,0.7040223,0.6714953
388,"JAM","Jamaica",0.2046403,0.178379,0.1915762,0.2366385,0.252219,0.1983566,0.2004285,0.2662234,0.3063483,0.2900946,0.2654243,0.2788525,0.2925725,0.2349755,0.2331972,0.148625,0.1059551,0.1638434,0.1449927,0.2784449
392,"JPN","Japan",0.7719467,0.5928359,0.8396158,0.5304578,1.102628,1.143969,1.260381,1.260638,1.129072,1.131932,1.098667,1.018737,1.079391,1.143813,1.115993,1.142823,1.217743,1.428122,1.373821,1.329213
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.124197,1.160963,1.185023,1.166139,1.142126,0.6987037,0.6805497,0.7180641
400,"JOR","Jordan",0.0244693,0.4174938,0.2559679,0.0447482,0.205446,0.2934837,0.0972653,0.3304124,0.305014,0.3165545,0.2738815,0.2260692,0.2954305,0.1936769,0.1359051,0.076422,0.0833356,0.0516795,0.0962652,0.0834205
398,"KAZ","Kazakhstan",-0.3340776,-0.3484526,-0.5919851,-0.6957945,-0.4185913,-0.4818529,-0.299068,-0.3637764,-0.3817636,-0.3405128,-0.3186216,-0.3300233,-0.2447563,-0.3750818,-0.3668912,-0.2515877,-0.0329584,-0.0997007,0.1704391,0.1406443
404,"KEN","Kenya",-0.3134253,-0.3060669,-0.2711834,-0.1461718,-0.2523673,-0.27502,-0.2711389,-0.193215,-0.248019,-0.215304,-0.1474386,-0.0816785,-0.2145242,-0.299869,-0.3002482,-0.3161606,-0.3124211,-0.3003297,-0.2325869,-0.2266058
296,"KIR","Kiribati",NA,-0.9608219,-0.9543953,-0.9817631,-0.8289253,-0.5248364,-0.9259279,-0.9842259,-1.07841,-1.175143,-1.214176,-1.335582,-1.40459,-1.32738,-1.347343,-0.919149,-0.8764771,-0.8390459,-0.8313448,-0.7703612
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,0.0396902,-0.01472,0.1080052,-0.0533851,-0.1199262,-0.0196275,-0.0244497,-0.1515047,-0.2967811,-0.1888688,-0.134271,-0.2767387
414,"KWT","Kuwait",0.3140124,-0.0378954,-0.0305208,0.3633764,0.4107331,0.5666956,0.4733854,0.2953306,0.2594693,0.1745221,0.1535748,0.1599515,0.0832637,-0.0365543,-0.0714554,-0.1453513,-0.173127,-0.073882,-0.0620899,-0.0356316
