"code","iso","country","RMS.raw.2014"
4,"AFG","Afghanistan",NA
8,"ALB","Albania",0.00684083416068807
12,"DZA","Algeria",0.00833834651558134
20,"AND","Andorra",NA
24,"AGO","Angola",0.00399591600581958
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",0.0153332108229106
32,"ARG","Argentina",0.0198056912877126
51,"ARM","Armenia",NA
533,"ABW","Aruba",NA
36,"AUS","Australia",NA
40,"AUT","Austria",NA
31,"AZE","Azerbaijan",NA
44,"BHS","Bahamas",0.0125920009237441
48,"BHR","Bahrain",0.0380521521306215
50,"BGD","Bangladesh",0.0105539379289851
52,"BRB","Barbados",0.00115797312377669
112,"BLR","Belarus",NA
56,"BEL","Belgium",0.00661791253102744
84,"BLZ","Belize",0.00464500343479858
204,"BEN","Benin",0.0110423998981626
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",NA
68,"BOL","Bolivia",NA
70,"BIH","Bosnia and Herzegovina",0.0267265501561916
72,"BWA","Botswana",NA
76,"BRA","Brazil",NA
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",0.0100159897609118
100,"BGR","Bulgaria",0.00656148880433588
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",NA
132,"CPV","Cabo Verde",0.00145388521522284
116,"KHM","Cambodia",0.00530912115163855
120,"CMR","Cameroon",0.0149597306784231
124,"CAN","Canada",0.0041982485463947
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",NA
148,"TCD","Chad",NA
152,"CHL","Chile",0.0049964957932149
156,"CHN","China",0.00177374939889957
170,"COL","Colombia",0.0100365228377703
174,"COM","Comoros",0.00916590093087424
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",0.0118099290477412
384,"CIV","Cote d'Ivoire",0.0031259523188128
191,"HRV","Croatia",0.0269584856667704
192,"CUB","Cuba",0.00618076279501331
531,"CUW","Curacao",0.00144048630817764
196,"CYP","Cyprus",0.00158352452554608
203,"CZE","Czech Republic",NA
180,"COD","Dem. Rep. Congo",0.00367224810673518
208,"DNK","Denmark",0.00155386870310431
262,"DJI","Djibouti",0.0196646793306435
212,"DMA","Dominica",0.00142902747769995
214,"DOM","Dominican Republic",0.0067888380610595
218,"ECU","Ecuador",0.00567634851468735
818,"EGY","Egypt",0.00797971927930298
222,"SLV","El Salvador",0.0119576301543008
226,"GNQ","Equatorial Guinea",0.00391770515388495
232,"ERI","Eritrea",0.0398591932114155
233,"EST","Estonia",0.0158069596012336
748,"SWZ","Eswatini",NA
231,"ETH","Ethiopia",NA
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",-0.00331054767105175
246,"FIN","Finland",0.0106580048304217
250,"FRA","France",NA
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",0.0145066988784554
270,"GMB","Gambia",0.0172569273361248
268,"GEO","Georgia",0.0212653774852364
276,"DEU","Germany",0.000986423574860754
288,"GHA","Ghana",0.0116627025782093
300,"GRC","Greece",0.00166070025046825
304,"GRL","Greenland",NA
308,"GRD","Grenada",0.00709779841418435
320,"GTM","Guatemala",0.00708625781387258
831,"GGY","Guernsey",NA
324,"GIN","Guinea",0.0110995992041044
624,"GNB","Guinea-Bissau",0.0182451025785664
328,"GUY","Guyana",0.0162594404984748
332,"HTI","Haiti",0.0082219934058827
336,"VAT","Holy See",NA
340,"HND","Honduras",0.00522015462416259
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",NA
352,"ISL","Iceland",0.00297772702946042
356,"IND","India",0.00461017827316705
360,"IDN","Indonesia",0.00674663023807561
364,"IRN","Iran",0.00418813382966226
368,"IRQ","Iraq",0.0132187843142083
372,"IRL","Ireland",0.00944666634882846
833,"IMN","Isle of Man",NA
376,"ISR","Israel",0.000305514926879905
380,"ITA","Italy",0.000673969418059414
388,"JAM","Jamaica",0.0152060488412402
392,"JPN","Japan",9.50791665354852e-07
832,"JEY","Jersey",NA
400,"JOR","Jordan",0.0118014671109909
398,"KAZ","Kazakhstan",NA
404,"KEN","Kenya",0.0105644870090672
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",0.00787569785913709
417,"KGZ","Kyrgyzstan",NA
418,"LAO","Laos",NA
428,"LVA","Latvia",0.00827812470154559
422,"LBN","Lebanon",0.00841329655108468
426,"LSO","Lesotho",NA
430,"LBR","Liberia",0.0110495031418083
434,"LBY","Libya",0.0146960802137986
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",0.0050585872709998
442,"LUX","Luxembourg",NA
446,"MAC","Macao",NA
450,"MDG","Madagascar",0.0133432377073471
454,"MWI","Malawi",NA
458,"MYS","Malaysia",NA
462,"MDV","Maldives",0.000609112997086605
466,"MLI","Mali",NA
470,"MLT","Malta",0.0165968230201497
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",0.0242987936986718
480,"MUS","Mauritius",0.00256496443436561
484,"MEX","Mexico",0.00542237022239051
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",NA
499,"MNE","Montenegro",0.0144658364006748
504,"MAR","Morocco",0.00330894006920758
508,"MOZ","Mozambique",0.00446707841392621
104,"MMR","Myanmar",0.0139676868879414
516,"NAM","Namibia",0.0166680994650809
520,"NRU","Nauru",NA
524,"NPL","Nepal",NA
528,"NLD","Netherlands",0.00182663416963696
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",NA
558,"NIC","Nicaragua",0.00967629349720539
562,"NER","Niger",NA
566,"NGA","Nigeria",0.019541437170526
570,"NIU","Niue",NA
408,"PRK","North Korea",2.32508588169721e-06
807,"MKD","North Macedonia",NA
578,"NOR","Norway",NA
512,"OMN","Oman",0.00324818689483869
586,"PAK","Pakistan",0.014522505897237
585,"PLW","Palau",0.000680248968473867
591,"PAN","Panama",0.0107703528436899
598,"PNG","Papua New Guinea",0.0205932120737552
600,"PRY","Paraguay",NA
604,"PER","Peru",0.0161251318887663
608,"PHL","Philippines",0.0128654261157672
616,"POL","Poland",0.00611525262023481
620,"PRT","Portugal",0.000303295200340496
634,"QAT","Qatar",0.0193019292002311
178,"COG","Republic of Congo",0.0114070002988865
642,"ROU","Romania",-0.00197782804870243
643,"RUS","Russia",0.0188588535655715
646,"RWA","Rwanda",NA
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",0.00708385397741768
662,"LCA","Saint Lucia",0.00681100298134976
670,"VCT","Saint Vincent and the Grenadines",0.00533631475960669
882,"WSM","Samoa",-0.0011946622617393
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",0.00819459166580437
682,"SAU","Saudi Arabia",0.00276793190212192
686,"SEN","Senegal",0.00428770372274885
688,"SRB","Serbia",NA
690,"SYC","Seychelles",0.00212503935187358
694,"SLE","Sierra Leone",0.0193846776567302
702,"SGP","Singapore",0.000265281543301906
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",NA
705,"SVN","Slovenia",0.00295403521209973
90,"SLB","Solomon Islands",0.00522839416282999
706,"SOM","Somalia",0.0203909255434222
710,"ZAF","South Africa",NA
410,"KOR","South Korea",0.0110837861153743
728,"SSD","South Sudan",NA
724,"ESP","Spain",0.000839706854316604
144,"LKA","Sri Lanka",0.00789826044511544
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",0.010955574281267
740,"SUR","Suriname",0.00273621666595643
752,"SWE","Sweden",0.00293847850134506
756,"CHE","Switzerland",NA
760,"SYR","Syria",0.00240388986208936
